sample	category	filename	relative_path	size_bytes	size_human	url
T2T00	assembly	T2T00.combined.fasta	assemblies/T2T00/T2T00.combined.fasta	6012151483	5.6GB	https://cloud.imgag.de/s/oiHyaeziGCYfD9r/download?path=%2Fassemblies%2FT2T00&files=T2T00.combined.fasta
T2T00	assembly	T2T00.contig_pofo_assignment.tsv	assemblies/T2T00/T2T00.contig_pofo_assignment.tsv	45927	44.9KB	https://cloud.imgag.de/s/oiHyaeziGCYfD9r/download?path=%2Fassemblies%2FT2T00&files=T2T00.contig_pofo_assignment.tsv
T2T00	assembly	T2T00.hap1.fasta	assemblies/T2T00/T2T00.hap1.fasta	3032094121	2.8GB	https://cloud.imgag.de/s/oiHyaeziGCYfD9r/download?path=%2Fassemblies%2FT2T00&files=T2T00.hap1.fasta
T2T00	assembly	T2T00.hap2.fasta	assemblies/T2T00/T2T00.hap2.fasta	2933156670	2.7GB	https://cloud.imgag.de/s/oiHyaeziGCYfD9r/download?path=%2Fassemblies%2FT2T00&files=T2T00.hap2.fasta
T2T00_1	assembly	T2T00_1.combined.fasta	assemblies/T2T00_1/T2T00_1.combined.fasta	6038319712	5.6GB	https://cloud.imgag.de/s/oiHyaeziGCYfD9r/download?path=%2Fassemblies%2FT2T00_1&files=T2T00_1.combined.fasta
T2T00_1	assembly	T2T00_1.contig_pofo_assignment.tsv	assemblies/T2T00_1/T2T00_1.contig_pofo_assignment.tsv	58841	57.5KB	https://cloud.imgag.de/s/oiHyaeziGCYfD9r/download?path=%2Fassemblies%2FT2T00_1&files=T2T00_1.contig_pofo_assignment.tsv
T2T00_1	assembly	T2T00_1.hap1.fasta	assemblies/T2T00_1/T2T00_1.hap1.fasta	3036796947	2.8GB	https://cloud.imgag.de/s/oiHyaeziGCYfD9r/download?path=%2Fassemblies%2FT2T00_1&files=T2T00_1.hap1.fasta
T2T00_1	assembly	T2T00_1.hap2.fasta	assemblies/T2T00_1/T2T00_1.hap2.fasta	2933656140	2.7GB	https://cloud.imgag.de/s/oiHyaeziGCYfD9r/download?path=%2Fassemblies%2FT2T00_1&files=T2T00_1.hap2.fasta
T2T00_2	assembly	T2T00_2.combined.fasta	assemblies/T2T00_2/T2T00_2.combined.fasta	6264217133	5.8GB	https://cloud.imgag.de/s/oiHyaeziGCYfD9r/download?path=%2Fassemblies%2FT2T00_2&files=T2T00_2.combined.fasta
T2T00_2	assembly	T2T00_2.contig_pofo_assignment.tsv	assemblies/T2T00_2/T2T00_2.contig_pofo_assignment.tsv	193928	189.4KB	https://cloud.imgag.de/s/oiHyaeziGCYfD9r/download?path=%2Fassemblies%2FT2T00_2&files=T2T00_2.contig_pofo_assignment.tsv
T2T00_2	assembly	T2T00_2.hap1.fasta	assemblies/T2T00_2/T2T00_2.hap1.fasta	3042959077	2.8GB	https://cloud.imgag.de/s/oiHyaeziGCYfD9r/download?path=%2Fassemblies%2FT2T00_2&files=T2T00_2.hap1.fasta
T2T00_2	assembly	T2T00_2.hap2.fasta	assemblies/T2T00_2/T2T00_2.hap2.fasta	3078135356	2.9GB	https://cloud.imgag.de/s/oiHyaeziGCYfD9r/download?path=%2Fassemblies%2FT2T00_2&files=T2T00_2.hap2.fasta
T2T01	assembly	T2T01.combined.fasta	assemblies/T2T01/T2T01.combined.fasta	6098922049	5.7GB	https://cloud.imgag.de/s/oiHyaeziGCYfD9r/download?path=%2Fassemblies%2FT2T01&files=T2T01.combined.fasta
